id_pesquisa,id_cliente,data_resposta,trimestre_ref,segmento_declarado,produto,canal,tempo_relacionamento,nota_satisfacao,comentario,id_cliente_num,qtd_atendimentos,nota_atendimento_media,qtd_atendimentos_resolvidos,qtd_atendimentos_pendentes,principal_motivo_contato,principal_canal_atendimento,produto_atendimento,qtd_registros_extrato,qtd_acessos_app_30d,qtd_reclamacoes_90d,tempo_resolucao_horas,suitability_pendente,produto_extrato
FD00001,C00103,2025-08-26,2025T3,Alta Renda,Carteira Administrada,Internet Banking,2-5 anos,10,,103,,,,,,,,3.0,7.666666666666667,0.6666666666666666,39.5,0.0,Carteira Administrada
FD00002,C00269,2025-08-07,2025T3,Alta Renda,Tesouro Direto,Assessoria,2-5 anos,10,Boa experiencia no aplicativo,269,2.0,10.0,2.0,0.0,explicacao risco,Telefone,CDB,5.0,5.2,0.0,18.82,0.0,CDB
FD00003,C00229,2025-08-21,2025T3,Novo Investidor,Fundos,Internet Banking,2-5 anos,9,Boa experiencia no aplicativo,229,1.0,2.0,1.0,0.0,duvida rentabilidade,Telefone,CDB,3.0,7.333333333333333,0.6666666666666666,32.86666666666667,0.0,Fundos
FD00004,C00097,2025-07-29,2025T3,Alta Renda,Carteira Administrada,App,0-6 meses,10,Informacoes estavam faceis de encontrar,97,1.0,7.0,1.0,0.0,explicacao risco,Agencia,COE,3.0,7.333333333333333,0.0,31.96666666666667,1.0,COE
FD00005,C00105,2025-08-22,2025T3,Novo Investidor,Tesouro Direto,App,6-24 meses,10,Informacoes estavam faceis de encontrar,105,,,,,,,,2.0,6.5,0.0,23.75,0.0,Fundos
FD00006,C00372,2025-09-18,2025T3,Private,Fundos,App,0-6 meses,10,Atendimento claro e rapido,372,,,,,,,,3.0,8.0,0.0,23.266666666666666,1.0,Fundos
FD00007,C00022,2025-09-05,2025T3,Private,Fundos,App,2-5 anos,10,Atendimento claro e rapido,22,2.0,9.0,2.0,0.0,reclamacao atendimento,Chat,Fundos,1.0,7.0,,22.3,0.0,Fundos
FD00008,C00227,2025-08-11,2025T3,Novo Investidor,Fundos,App,0-6 meses,4,Demora para resolver meu problema,227,,,,,,,,1.0,10.0,0.0,28.4,0.0,Fundos
FD00009,C00459,2025-09-16,2025T3,Private,CDB,App,6-24 meses,9,Informacoes estavam faceis de encontrar,459,1.0,9.0,0.0,1.0,reclamacao atendimento,Telefone,Fundos,5.0,5.0,0.0,20.22,1.0,CDB
FD00010,C00016,2025-09-01,2025T3,Private,CDB,App,6-24 meses,10,Informacoes estavam faceis de encontrar,16,1.0,8.0,0.0,1.0,acesso app,Telefone,COE,3.0,9.0,0.0,14.4,0.0,CDB
FD00011,C00165,2025-08-16,2025T3,Private,Carteira Administrada,App,6-24 meses,10,Informacoes estavam faceis de encontrar,165,,,,,,,,2.0,8.5,0.5,39.3,0.0,Carteira Administrada
FD00012,C00395,2025-07-14,2025T3,Alta Renda,Fundos,App,0-6 meses,10,Boa experiencia no aplicativo,395,,,,,,,,1.0,10.0,0.0,38.9,0.0,Fundos
FD00013,C00401,2025-07-18,2025T3,Private,Fundos,Assessoria,6-24 meses,9,Informacoes estavam faceis de encontrar,401,,,,,,,,2.0,5.5,0.0,10.2,0.0,Fundos
FD00014,C00270,2025-08-26,2025T3,Alta Renda,CDB,App,5+ anos,9,Atendimento claro e rapido,270,,,,,,,,2.0,8.5,0.0,29.35,0.0,CDB
FD00015,C00132,2025-07-10,2025T3,Private,Tesouro Direto,App,2-5 anos,10,Assessoria ajudou na decisao,132,,,,,,,,1.0,12.0,0.0,28.4,0.0,Tesouro Direto
