customer_id,survey_datetime,produto_codigo,qtd_acessos_app_30d,qtd_reclamacoes_90d,tempo_resolucao_horas,suitability_pendente
00114,2026-06-05 00:00:00,PRD_CDB,8,0.0,38.0,0
00464,2026-02-14 00:00:00,PRD_CDB,9,0.0,8.2,0
00084,2025-09-23 00:00:00,PRD_FND,8,0.0,21.7,0
00037,2026-04-26 00:00:00,PRD_CDB,3,0.0,2.4,0
00317,2026-05-03 00:00:00,PRD_TES,14,0.0,23.2,0
00057,2026-01-10 00:00:00,PRD_CDB,7,0.0,16.3,0
00543,2026-02-14 00:00:00,PRD_TES,9,0.0,20.7,1
00507,2026-06-19 00:00:00,PRD_CAR,8,1.0,93.4,0
00128,2025-08-06 00:00:00,PRD_CDB,12,0.0,1.0,0
00537,2025-07-19 00:00:00,PRD_FND,8,0.0,13.6,1
00174,2025-12-17 00:00:00,PRD_FND,6,0.0,18.1,0
00318,2026-05-10 00:00:00,PRD_COE,8,,23.6,0
00064,2025-10-21 00:00:00,PRD_FND,5,1.0,29.4,0
00217,2025-11-19 00:00:00,PRD_TES,4,0.0,20.8,0
00408,2025-11-29 00:00:00,PRD_TES,11,0.0,20.3,0
00229,2026-04-13 00:00:00,PRD_FND,6,1.0,39.8,0
00287,2026-05-10 00:00:00,PRD_FND,11,0.0,30.5,0
00371,2026-04-06 00:00:00,PRD_CAR,5,0.0,89.1,0
00202,2025-08-28 00:00:00,PRD_FND,10,0.0,6.6,0
00073,2026-04-28 00:00:00,PRD_CAR,8,0.0,72.4,0
00108,2026-02-20 00:00:00,PRD_CAR,15,0.0,49.3,0
00439,2025-09-14 00:00:00,PRD_TES,14,0.0,25.7,0
00219,2025-10-11 00:00:00,PRD_FND,9,0.0,2.9,0
00098,2025-09-02 00:00:00,PRD_FND,5,0.0,11.3,0
00544,2025-12-25 00:00:00,PRD_FND,10,0.0,18.7,0
00139,2025-11-22 00:00:00,PRD_CDB,10,0.0,27.0,0
00296,2025-08-07 00:00:00,PRD_COE,9,0.0,15.0,0
00106,2026-02-27 00:00:00,PRD_CDB,5,0.0,30.1,1
00168,2025-12-08 00:00:00,PRD_TES,8,0.0,28.5,0
00472,2026-06-23 00:00:00,PRD_CDB,5,0.0,27.0,0
00249,2026-01-31 00:00:00,PRD_CDB,4,0.0,26.4,0
00528,2025-11-06 00:00:00,PRD_FND,2,0.0,3.8,0
00284,2026-03-16 00:00:00,PRD_FND,8,0.0,23.7,0
00500,2025-07-22 00:00:00,PRD_TES,4,0.0,24.8,0
00200,2026-04-08 00:00:00,PRD_COE,6,0.0,11.9,0
00297,2025-07-03 00:00:00,PRD_FND,4,0.0,17.7,0
00133,2025-11-21 00:00:00,PRD_CDB,5,0.0,26.8,0
00354,2025-08-15 00:00:00,PRD_CDB,4,0.0,8.2,0
00509,2026-06-16 00:00:00,PRD_FND,2,0.0,21.7,0
00375,2025-10-07 00:00:00,PRD_TES,8,0.0,20.8,0
00200,2025-10-24 00:00:00,PRD_CDB,8,2.0,39.4,0
00030,2025-08-01 00:00:00,PRD_CDB,5,0.0,19.3,1
00209,2026-03-15 00:00:00,PRD_TES,8,0.0,16.1,0
00144,2025-10-31 00:00:00,PRD_TES,7,0.0,23.9,0
00396,2026-04-17 00:00:00,PRD_TES,8,0.0,12.6,0
00203,2025-07-26 00:00:00,PRD_FND,4,0.0,26.5,0
00223,2026-03-01 00:00:00,PRD_CDB,5,0.0,10.8,0
00542,2025-10-25 00:00:00,PRD_CDB,7,0.0,9.0,0
00211,2026-02-19 00:00:00,PRD_CDB,10,0.0,11.9,1
00364,2026-04-18 00:00:00,PRD_FND,4,0.0,23.1,0
00266,2025-08-03 00:00:00,PRD_COE,16,0.0,31.6,0
00301,2026-06-18 00:00:00,PRD_TES,8,0.0,20.8,0
00550,2026-05-11 00:00:00,PRD_FND,4,0.0,11.4,0
00203,2026-02-05 00:00:00,PRD_FND,5,0.0,2.7,0
00393,2026-03-25 00:00:00,PRD_TES,4,0.0,11.2,1
00422,2026-04-08 00:00:00,PRD_FND,3,0.0,43.3,0
00088,2026-05-13 00:00:00,PRD_FND,10,0.0,33.2,0
00123,2026-02-18 00:00:00,PRD_TES,4,0.0,1.0,0
00010,2026-02-20 00:00:00,PRD_COE,10,0.0,10.3,0
00071,2026-05-08 00:00:00,PRD_CAR,8,1.0,80.7,0
00024,2025-11-23 00:00:00,PRD_TES,7,0.0,28.1,0
00550,2026-06-26 00:00:00,PRD_FND,3,0.0,24.5,0
00447,2026-05-11 00:00:00,PRD_TES,7,0.0,36.8,0
00514,2025-07-13 00:00:00,PRD_CDB,11,0.0,13.1,0
00375,2026-01-04 00:00:00,PRD_CDB,12,0.0,13.1,0
00328,2025-07-11 00:00:00,PRD_TES,13,1.0,32.9,0
00431,2026-01-06 00:00:00,PRD_FND,1,0.0,1.0,0
00519,2026-01-20 00:00:00,PRD_FND,8,0.0,39.9,0
00405,2025-10-27 00:00:00,PRD_CAR,4,1.0,54.2,0
00197,2026-05-31 00:00:00,PRD_CDB,3,0.0,10.7,0
00299,2025-08-06 00:00:00,PRD_CDB,2,0.0,26.4,0
00400,2026-05-28 00:00:00,PRD_CDB,4,0.0,31.3,0
00137,2026-05-18 00:00:00,PRD_FND,8,0.0,20.5,1
00223,2025-11-25 00:00:00,PRD_CDB,4,0.0,30.7,0
00398,2025-09-26 00:00:00,PRD_CDB,6,0.0,25.1,0
00163,2025-07-13 00:00:00,PRD_CDB,4,0.0,16.5,0
00400,2026-04-06 00:00:00,PRD_FND,9,0.0,33.9,0
00478,2025-07-06 00:00:00,PRD_CDB,7,0.0,32.7,0
00112,2026-06-26 00:00:00,PRD_COE,14,0.0,17.4,0
00436,2026-05-03 00:00:00,PRD_TES,3,0.0,26.6,1
00387,2026-03-11 00:00:00,PRD_CDB,10,1.0,30.9,0
00028,2026-04-20 00:00:00,PRD_FND,15,,30.2,1
00269,2025-10-14 00:00:00,PRD_CDB,5,0.0,22.5,0
00442,2026-06-25 00:00:00,PRD_CAR,5,2.0,111.0,0
00206,2025-09-12 00:00:00,PRD_FND,4,1.0,25.5,0
00499,2026-06-18 00:00:00,PRD_CAR,8,0.0,69.9,0
00298,2026-03-02 00:00:00,PRD_FND,11,0.0,35.4,0
00367,2026-03-10 00:00:00,PRD_FND,8,0.0,28.8,0
00426,2025-07-13 00:00:00,PRD_COE,11,0.0,4.6,0
00180,2025-09-23 00:00:00,PRD_CAR,5,0.0,48.7,0
00297,2026-04-08 00:00:00,PRD_CAR,6,0.0,83.8,0
00506,2025-12-03 00:00:00-03:00,PRD_CDB,7,0.0,26.1,0
00522,2026-06-26 00:00:00,PRD_TES,12,,16.2,0
00310,2026-05-24 00:00:00,PRD_TES,8,0.0,13.9,0
