id_pesquisa,id_cliente,data_resposta,trimestre_ref,segmento_declarado,produto,canal,tempo_relacionamento,nota_satisfacao,comentario
FD00001,C00103,2025-08-26,2025T3,Alta Renda,Carteira Administrada,Internet Banking,2-5 anos,10,
FD00002,C00269,2025-08-07,2025T3,Alta Renda,Tesouro Direto,Assessoria,2-5 anos,10,Boa experiencia no aplicativo
FD00003,C00229,2025-08-21,2025T3,Novo Investidor,Fundos,Internet Banking,2-5 anos,9,Boa experiencia no aplicativo
FD00004,C00097,2025-07-29,2025T3,Alta Renda,Carteira Administrada,App,0-6 meses,10,Informacoes estavam faceis de encontrar
FD00005,C00105,2025-08-22,2025T3,Novo Investidor,Tesouro Direto,App,6-24 meses,10,Informacoes estavam faceis de encontrar
FD00006,C00372,2025-09-18,2025T3,Private,Fundos,App,0-6 meses,10,Atendimento claro e rapido
FD00007,C00022,2025-09-05,2025T3,Private,Fundos,App,2-5 anos,10,Atendimento claro e rapido
FD00008,C00227,2025-08-11,2025T3,Novo Investidor,Fundos,App,0-6 meses,4,Demora para resolver meu problema
FD00009,C00459,2025-09-16,2025T3,Private,CDB,App,6-24 meses,9,Informacoes estavam faceis de encontrar
FD00010,C00016,2025-09-01,2025T3,Private,CDB,App,6-24 meses,10,Informacoes estavam faceis de encontrar
FD00011,C00165,2025-08-16,2025T3,Private,Carteira Administrada,App,6-24 meses,10,Informacoes estavam faceis de encontrar
FD00012,C00395,2025-07-14,2025T3,Alta Renda,Fundos,App,0-6 meses,10,Boa experiencia no aplicativo
FD00013,C00401,2025-07-18,2025T3,Private,Fundos,Assessoria,6-24 meses,9,Informacoes estavam faceis de encontrar
FD00014,C00270,2025-08-26,2025T3,Alta Renda,CDB,App,5+ anos,9,Atendimento claro e rapido
FD00015,C00132,2025-07-10,2025T3,Private,Tesouro Direto,App,2-5 anos,10,Assessoria ajudou na decisao
FD00016,C00321,2025-09-21,2025T3,Alta Renda,CDB,App,6-24 meses,10,Consegui acompanhar minha carteira
FD00017,C00137,2025-09-08,2025T3,Alta Renda,Carteira Administrada,Internet Banking,2-5 anos,10,Boa experiencia no aplicativo
FD00018,C00301,2025-09-13,2025T3,Private,CDB,App,0-6 meses,9,Atendimento claro e rapido
FD00019,C00082,2025-08-05,2025T3,Varejo,CDB,Assessoria,5+ anos,9,Assessoria ajudou na decisao
FD00020,C00087,2025-08-20,2025T3,Varejo,Fundos,Central de Atendimento,5+ anos,10,Consegui acompanhar minha carteira
FD00021,C00280,2025-07-26,2025T3,Varejo,Tesouro Direto,App,6-24 meses,7,Aplicativo poderia explicar melhor
FD00022,C00254,2025-09-02,2025T3,Alta Renda,Tesouro Direto,App,0-6 meses,10,Atendimento claro e rapido
FD00023,C00426,2025-07-10,2025T3,Alta Renda,COE,App,2-5 anos,9,Informacoes estavam faceis de encontrar
FD00024,C00111,2025-09-11,2025T3,Alta Renda,CDB,Internet Banking,2-5 anos,9,Assessoria ajudou na decisao
FD00025,C00079,2025-08-31,2025T3,Alta Renda,Tesouro Direto,App,2-5 anos,10,Informacoes estavam faceis de encontrar
FD00026,C00283,2025-07-01,2025T3,Alta Renda,COE,Central de Atendimento,2-5 anos,9,Informacoes estavam faceis de encontrar
FD00027,C00341,2025-07-30,2025T3,Alta Renda,Carteira Administrada,App,5+ anos,7,Aplicativo poderia explicar melhor
FD00028,C00159,2025-08-11,2025T3,Private,CDB,Internet Banking,6-24 meses,7,"Experiencia ok, mas poderia ser mais simples"
FD00029,C00039,2025-07-23,2025T3,Varejo,Tesouro Direto,App,6-24 meses,9,Boa experiencia no aplicativo
FD00030,C00282,2025-08-20,2025T3,Alta Renda,Tesouro Direto,App,2-5 anos,9,Atendimento claro e rapido
FD00031,C00228,2025-07-29,2025T3,Alta Renda,Tesouro Direto,Assessoria,2-5 anos,9,Atendimento claro e rapido
FD00032,C00315,2025-07-27,2025T3,Varejo,Fundos,Central de Atendimento,2-5 anos,8,Demorou um pouco para encontrar informacoes
FD00033,C00410,2025-08-07,2025T3,Private,Fundos,Assessoria,2-5 anos,7,Demorou um pouco para encontrar informacoes
FD00034,C00143,2025-07-29,2025T3,Alta Renda,Tesouro Direto,,6-24 meses,10,Consegui acompanhar minha carteira
FD00035,C00290,2025-08-12,2025T3,Varejo,Fundos,Internet Banking,2-5 anos,7,Tive duvida sobre rentabilidade
FD00036,C00545,2025-09-28,2025T3,Varejo,COE,App,5+ anos,9,Consegui acompanhar minha carteira
FD00037,C00058,2025-08-29,2025T3,Private,Fundos,App,2-5 anos,9,Informacoes estavam faceis de encontrar
FD00038,C00146,2025-09-30,2025T3,Private,Carteira Administrada,Assessoria,6-24 meses,10,Informacoes estavam faceis de encontrar
FD00039,C00203,2025-07-01,2025T3,Private,CDB,App,0-6 meses,8,Tive duvida sobre rentabilidade
FD00040,C00470,2025-08-24,2025T3,Novo Investidor,Carteira Administrada,App,6-24 meses,6,Nao consegui falar com assessor
FD00041,C00264,2025-07-26,2025T3,Alta Renda,Tesouro Direto,Assessoria,6-24 meses,10,Informacoes estavam faceis de encontrar
FD00042,C00211,2025-08-03,2025T3,Alta Renda,Tesouro Direto,Central de Atendimento,5+ anos,9,Consegui acompanhar minha carteira
FD00043,C00049,2025-08-21,2025T3,Alta Renda,CDB,Central de Atendimento,6-24 meses,10,Boa experiencia no aplicativo
FD00044,C00044,2025-09-23,2025T3,Novo Investidor,Tesouro Direto,Internet Banking,2-5 anos,7,Demorou um pouco para encontrar informacoes
FD00045,C00412,2025-08-18,2025T3,Novo Investidor,Tesouro Direto,Internet Banking,6-24 meses,5,Informacoes divergentes sobre o produto
FD00046,C00050,2025-07-30,2025T3,Private,Tesouro Direto,App,6-24 meses,9,Boa experiencia no aplicativo
